구분,음식명
"국,탕",토란국 / 토란탕
찜,토란줄기찜
"국,탕",토장국
젓갈,토하젓
나물,톳나물
구이,통닭구이
김치,통배추김치
마른찬,튀각
한과,튀밥
채소류,파
회,파강회
김치,파김치
해조류,파래
무침,파래무침
"국,탕",파랫국 / 파래된장국
"전,적",파전
생채,파채
"국,탕",팟국
곡류,팥
떡,팥(시루)떡
밥,팥밥
죽,팥죽
구이,패주구이
만두,편수
편육,편육
마른찬,편포
면,평양냉면
마른찬,포
버섯류,표고버섯
"전,적",표고전
채소류,풋고추
한과,한과
기타,한정식
회,한치(물)회
밥,한치회덮밥
면,함흥냉면
죽,합자죽
생채,해물겨자채
찌개,해물된장찌개
"전,적",해물전
전골,해물전골
전,해물파전
패류,해삼
회,해삼초회
"국,탕",해삼탕
"국,탕",해장국
생채,해파리냉채
밥,헛제삿밥
견과류,호두
조림,호두조림
채소류,호박
떡,호박고지떡
김치,호박김치
나물,호박나물
죽,호박범벅
볶음,호박볶음
선,(애)호박선 / 애호박찜
쌈,호박잎쌈
전,호박전
죽,호박죽
어류,홍어
찜,홍어찜
회,홍어회
패류,홍합
"국,탕",홍합미역국
죽,홍합죽
초,홍합초
"전,적",화양적
떡,화전
음청류,화채
구이,황태구이
회,회
면,회냉면
밥,회덮밥
죽,흑임자죽
떡,흰떡
죽,흰죽
